pai,jiang,p
4211,0,0.0000
4211,1,0.0000
1140,0,0.0000
1140,1,0.0000
4212,0,0.0000
4212,1,0.0000
1141,0,0.0000
1141,1,0.0000
4213,0,0.0000
4213,1,0.0000
1142,0,0.0000
1142,1,0.0000
4214,0,0.0000
4214,1,0.0000
1143,0,0.0000
1143,1,0.0000
120,0,0.0062
120,1,0.0353
1144,0,0.0000
1144,1,0.0000
121,0,0.0032
121,1,0.0122
122,0,0.0045
122,1,0.0196
123,0,0.0078
123,1,0.0422
124,0,0.0000
124,1,0.0000
4220,0,0.0000
4220,1,0.0000
4221,0,0.0000
4221,1,0.0000
4222,0,0.0000
4222,1,0.0000
4223,0,0.0000
4223,1,0.0000
4123,0,0.0000
3200,0,0.0350
3200,1,1.0000
4121,1,0.0000
4224,0,0.0000
4224,1,0.0000
3201,0,0.0078
130,0,0.0170
3201,1,0.0422
131,0,0.0051
131,1,0.0147
132,0,0.0078
132,1,0.0422
3202,0,0.0200
3202,1,0.0796
3204,0,0.0000
3204,1,0.0000
133,0,0.0225
133,1,0.0451
134,0,0.0000
134,1,0.0000
4230,0,0.0000
4230,1,0.0000
4231,0,0.0000
4231,1,0.0000
4233,0,0.0000
4233,1,0.0000
3210,0,0.0078
3210,1,0.0422
4234,0,0.0000
4234,1,0.0000
3211,0,0.0062
3211,1,0.0186
140,0,0.0000
140,1,0.0000
3212,0,0.0074
3212,1,0.0252
141,0,0.0000
141,1,0.0000
3213,0,0.0107
3213,1,0.0294
142,0,0.0000
142,1,0.0000
3214,0,0.0000
3214,1,0.0000
143,0,0.0000
143,1,0.0000
144,0,0.0000
144,1,0.0000
4240,0,0.0000
4240,1,0.0000
4241,0,0.0000
4241,1,0.0000
4242,0,0.0000
4242,1,0.0000
4243,0,0.0000
4243,1,0.0000
3220,0,0.0200
3220,1,0.0796
4244,0,0.0000
4244,1,0.0000
3221,0,0.0074
3221,1,0.0252
4232,0,0.0000
130,1,0.0441
4123,1,0.0000
2200,0,0.0152
2200,1,0.0763
3224,0,0.0000
3224,1,0.0000
2201,0,0.0045
2201,1,0.0196
2202,0,0.0069
2202,1,0.0541
2101,0,0.0032
2101,1,0.0122
2203,0,0.0200
2203,1,0.0796
2204,0,0.0000
2204,1,0.0000
3230,0,0.0392
3230,1,1.0000
3231,0,0.0107
3231,1,0.0294
3232,0,0.0147
3232,1,0.0588
3233,0,0.0294
2210,0,0.0045
3233,1,1.0000
30,0,1.0000
30,1,0.0499
3234,0,0.0000
4124,0,0.0000
3234,1,0.0000
2212,0,0.0053
2212,1,0.0214
2213,0,0.0074
2213,1,0.0252
2214,0,0.0000
2214,1,0.0000
3240,0,0.0000
3240,1,0.0000
2211,0,0.0000
2211,1,0.0168
3242,0,0.0000
2210,1,0.0196
3223,0,0.0147
3223,1,0.0588
3243,0,0.0000
3243,1,0.0000
2220,0,0.0069
2220,1,0.0541
3244,0,0.0000
3244,1,0.0000
2221,0,0.0053
2221,1,0.0214
2222,0,0.0062
2222,1,0.0294
1200,0,0.0062
1200,1,0.0353
2223,0,0.0090
2223,1,0.0392
2224,0,0.0000
2224,1,0.0000
4232,1,0.0000
1202,0,0.0045
1202,1,0.0196
1203,0,0.0078
1203,1,0.0422
1204,0,0.0000
1204,1,0.0000
2230,0,0.0200
2230,1,0.0796
2231,0,0.0074
2231,1,0.0252
2232,0,0.0090
2232,1,0.0392
1210,0,0.0032
1210,1,0.0122
2233,0,0.0147
2233,1,0.0588
2234,0,0.0000
2234,1,0.0000
3222,0,0.0090
3222,1,0.0392
1212,0,0.0000
1212,1,0.0168
1213,0,0.0062
1213,1,0.0186
1214,0,0.0000
1214,1,0.0000
2240,0,0.0000
2240,1,0.0000
2241,0,0.0000
2241,1,0.0000
2242,0,0.0000
2242,1,0.0000
2243,0,0.0000
2243,1,0.0000
1220,0,0.0045
1220,1,0.0196
2244,0,0.0000
2244,1,0.0000
1221,0,0.0000
1222,0,0.0053
3203,0,0.0392
1222,1,0.0214
3203,1,1.0000
1221,1,0.0168
1223,0,0.0074
1223,1,0.0252
200,0,0.0332
200,1,1.0000
1224,0,0.0000
1224,1,0.0000
201,0,0.0062
201,1,0.0353
1211,0,0.0000
1211,1,0.0000
203,0,0.0350
204,0,0.0000
1201,0,0.0032
3242,1,0.0000
1201,1,0.0122
3241,0,0.0000
3241,1,0.0000
4300,0,0.0000
4300,1,0.0000
1230,0,0.0078
1230,1,0.0422
4302,0,0.0000
4302,1,0.0000
1231,0,0.0062
1231,1,0.0186
4124,1,0.0000
4303,0,0.0000
4303,1,0.0000
4304,0,0.0000
4304,1,0.0000
1232,0,0.0074
1232,1,0.0252
210,0,0.0062
210,1,0.0353
1233,0,0.0107
1233,1,0.0294
1234,0,0.0000
1234,1,0.0000
211,0,0.0032
211,1,0.0122
212,0,0.0045
212,1,0.0196
213,0,0.0078
213,1,0.0422
214,0,0.0000
214,1,0.0000
4310,0,0.0000
4310,1,0.0000
4311,0,0.0000
4311,1,0.0000
4312,0,0.0000
4312,1,0.0000
1241,0,0.0000
1241,1,0.0000
4313,0,0.0000
4313,1,0.0000
1240,0,0.0000
1240,1,0.0000
1242,0,0.0000
1242,1,0.0000
4314,0,0.0000
4314,1,0.0000
1243,0,0.0000
1243,1,0.0000
4301,0,0.0000
4301,1,0.0000
1244,0,0.0000
1244,1,0.0000
222,0,0.0069
222,1,0.0541
223,0,0.0200
223,1,0.0796
224,0,0.0000
224,1,0.0000
4320,0,0.0000
4320,1,0.0000
4322,0,0.0000
204,1,0.0000
203,1,1.0000
4323,0,0.0000
4323,1,0.0000
4324,0,0.0000
4324,1,0.0000
202,0,0.0152
202,1,0.0763
230,0,0.0350
230,1,1.0000
3302,0,0.0392
3302,1,1.0000
231,0,0.0078
231,1,0.0422
3303,0,1.0000
3303,1,0.0168
3304,0,0.0000
3304,1,0.0000
233,0,0.0392
233,1,1.0000
232,0,0.0200
234,0,0.0000
232,1,0.0796
4330,0,0.0000
4330,1,0.0000
4331,0,0.0000
4331,1,0.0000
4332,0,0.0000
4332,1,0.0000
4333,0,0.0000
4333,1,0.0000
3310,0,0.0225
3310,1,0.0451
4334,0,0.0000
4334,1,0.0000
3301,0,0.0225
3301,1,0.0451
3311,0,0.0084
3311,1,0.0196
3300,0,1.0000
3300,1,0.0425
3312,0,0.0107
3312,1,0.0294
3313,0,0.0168
3313,1,0.0294
242,0,0.0000
242,1,0.0000
3314,0,0.0000
3314,1,0.0000
243,0,0.0000
243,1,0.0000
244,0,0.0000
244,1,0.0000
4340,0,0.0000
4340,1,0.0000
4341,0,0.0000
4341,1,0.0000
4342,0,0.0000
4342,1,0.0000
4343,0,0.0000
4343,1,0.0000
3320,0,0.0392
3320,1,1.0000
3321,0,0.0107
3321,1,0.0294
3322,0,0.0147
3322,1,0.0588
3323,0,0.0294
241,0,0.0000
241,1,0.0000
4322,1,0.0000
3324,0,0.0000
3324,1,0.0000
2300,0,0.0350
2300,1,1.0000
2301,0,0.0078
2301,1,0.0422
2302,0,0.0200
2302,1,0.0796
2304,0,0.0000
2304,1,0.0000
4321,0,0.0000
4321,1,0.0000
3330,0,1.0000
3330,1,0.0168
3331,0,0.0168
3331,1,0.0294
3332,0,0.0294
3332,1,1.0000
3333,0,1.0000
3333,1,0.0000
2310,0,0.0078
2310,1,0.0422
3334,0,0.0000
3334,1,0.0000
2312,0,0.0074
2311,0,0.0062
2311,1,0.0186
221,0,0.0045
221,1,0.0196
2313,0,0.0107
2313,1,0.0294
2314,0,0.0000
2314,1,0.0000
3340,0,0.0000
3340,1,0.0000
3341,0,0.0000
3341,1,0.0000
3342,0,0.0000
3342,1,0.0000
3343,0,0.0000
3343,1,0.0000
3344,0,0.0000
3344,1,0.0000
2320,0,0.0200
2320,1,0.0796
2321,0,0.0074
2321,1,0.0252
2322,0,0.0090
2322,1,0.0392
1300,0,0.0170
1300,1,0.0441
220,0,0.0152
220,1,0.0763
1301,0,0.0051
1301,1,0.0147
2324,0,0.0000
2324,1,0.0000
1302,0,0.0078
1302,1,0.0422
1303,0,0.0225
1303,1,0.0451
1304,0,0.0000
1304,1,0.0000
2330,0,0.0392
2330,1,1.0000
2331,0,0.0107
2331,1,0.0294
2333,0,0.0294
2333,1,1.0000
1310,0,0.0051
1310,1,0.0147
2323,0,0.0147
2323,1,0.0588
2334,0,0.0000
2334,1,0.0000
1311,0,0.0000
1311,1,0.0147
1312,0,0.0062
1312,1,0.0186
1313,0,0.0084
1314,0,0.0000
1313,1,0.0196
1314,1,0.0000
2312,1,0.0252
2340,0,0.0000
2340,1,0.0000
2341,0,0.0000
2341,1,0.0000
2342,0,0.0000
2342,1,0.0000
2343,0,0.0000
2343,1,0.0000
2344,0,0.0000
1320,0,0.0078
2303,0,0.0392
3323,1,1.0000
240,0,0.0000
240,1,0.0000
1321,0,0.0062
1321,1,0.0186
1322,0,0.0074
1322,1,0.0252
300,0,1.0000
300,1,0.0499
1323,0,0.0107
1323,1,0.0294
1324,0,0.0000
1324,1,0.0000
301,0,0.0170
301,1,0.0441
302,0,0.0350
302,1,1.0000
303,0,1.0000
303,1,0.0425
234,1,0.0000
4400,0,0.0000
4400,1,0.0000
4401,0,0.0000
4401,1,0.0000
4402,0,0.0000
4402,1,0.0000
1331,0,0.0084
304,0,0.0000
2303,1,1.0000
1320,1,0.0422
4403,0,0.0000
4403,1,0.0000
4404,0,0.0000
4404,1,0.0000
1333,0,0.0168
1333,1,0.0294
310,0,0.0170
310,1,0.0441
1334,0,0.0000
